,sentence_text,e1_text,e2_text,relation_type,normalized_sentence
595,"Coadministration with compounds that are potent inducers of CYP3A4 (eg, phenobarbital, phenytoin, dexamethasone, carbamazepine) may result in decreased plasma levels of saquinavir.",dexamethasone,saquinavir,mechanism,Coadministration compounds potent inducers CYP3A4 (eg phenobarbital phenytoin DRUG carbamazepine) may result decreased plasma levels DRUG .
596,"Coadministration with compounds that are potent inducers of CYP3A4 (eg, phenobarbital, phenytoin, dexamethasone, carbamazepine) may result in decreased plasma levels of saquinavir.",carbamazepine,saquinavir,mechanism,Coadministration compounds potent inducers CYP3A4 (eg phenobarbital phenytoin dexamethasone DRUG ) may result decreased plasma levels DRUG .
597,In vitro mixing of an aminoglycoside with beta-lactamtype antibiotics (penicillins or cephalosporins) may result in a significant mutual inactivation.,aminoglycoside,antibiotics,effect,vitro mixing GROUP beta lactamtype GROUP (penicillins cephalosporins) may result significant mutual inactivation.
598,In vitro mixing of an aminoglycoside with beta-lactamtype antibiotics (penicillins or cephalosporins) may result in a significant mutual inactivation.,aminoglycoside,penicillins,effect,vitro mixing GROUP beta lactamtype antibiotics ( GROUP cephalosporins) may result significant mutual inactivation.
599,In vitro mixing of an aminoglycoside with beta-lactamtype antibiotics (penicillins or cephalosporins) may result in a significant mutual inactivation.,aminoglycoside,cephalosporins,effect,vitro mixing GROUP beta lactamtype antibiotics (penicillins GROUP ) may result significant mutual inactivation.
600,"Even when an aminoglycoside and a penicillin-type drug are administered separately by different routes, a reduction in aminoglycoside serum half-life or serum levels has been reported in patients with impaired renal function and in some patients with normal renal function.",aminoglycoside,penicillin,mechanism,Even GROUP GROUP type drug administered separately different routes reduction aminoglycoside serum half life serum levels reported patients impaired renal function patients normal renal function.
601,Ethanol:Clinical evidence has shown that etretinate can be formed with concurrent ingestion of acitretin and ethanol.,acitretin,ethanol,mechanism,Ethanol:Clinical evidence shown etretinate formed concurrent ingestion DRUG DRUG .
602,"Glibenclamide: In a study of 7 healthy male volunteers, acitretin treatment potentiated the blood glucose lowering effect of glibenclamide (a sulfonylurea similar to chlorpropamide) in 3 of the 7 subjects.",acitretin,glibenclamide,effect,Glibenclamide: study 7 healthy male volunteers DRUG treatment potentiated blood glucose lowering effect DRUG (a sulfonylurea similar chlorpropamide) 3 7 subjects.
603,"However, it has been established that acitretin interferes with the contraceptive effect of microdosed progestin minipill preparations.",acitretin,progestin,effect,However established DRUG interferes contraceptive effect microdosed DRUG minipill preparations.
604,Microdosed minipill progestin preparations are not recommended for use with Soriatane.,progestin,Soriatane,advise,Microdosed minipill DRUG preparations recommended use DRUG .
605,Methotrexate: An increased risk of hepatitis has been reported to result from combined use of methotrexate and etretinate.,methotrexate,etretinate,effect,Methotrexate: increased risk hepatitis reported result combined use DRUG DRUG .
606,"Consequently, the combination of methotrexate with acitretin is also contraindicated.",methotrexate,acitretin,advise,Consequently combination DRUG DRUG also contraindicated.
607,"Phenytoin: If acitretin is given concurrently with phenytoin, the protein binding of phenytoin may be reduced.",acitretin,phenytoin,mechanism,Phenytoin: DRUG given concurrently DRUG protein binding phenytoin may reduced.
608,"Tetracyclines: Since both acitretin and tetracyclines can cause increased intracranial pressure, their combined use is contraindicated.",acitretin,tetracyclines,effect,Tetracyclines: Since DRUG GROUP cause increased intracranial pressure combined use contraindicated.
609,Vitamin A and oral retinoids: Concomitant administration of vitamin A and/or other oral retinoids with acitretin must be avoided because of the risk of hypervitaminosis A.,vitamin A,acitretin,advise,Vitamin oral retinoids: Concomitant administration GROUP and/or oral retinoids DRUG must avoided risk hypervitaminosis A.
610,Vitamin A and oral retinoids: Concomitant administration of vitamin A and/or other oral retinoids with acitretin must be avoided because of the risk of hypervitaminosis A.,retinoids,acitretin,advise,Vitamin oral retinoids: Concomitant administration vitamin and/or oral GROUP DRUG must avoided risk hypervitaminosis A.
611,Use of Cerubidine in a patient who has previously received doxorubicin increases the risk of cardiotoxicity.,Cerubidine,doxorubicin,effect,Use BRAND patient previously received DRUG increases risk cardiotoxicity.
612,Cerubidine should not be used in patients who have previously received the recommended maximum cumulative doses of doxorubicin or Cerubidine.,Cerubidine,doxorubicin,advise,BRAND used patients previously received recommended maximum cumulative doses DRUG Cerubidine.
613,Cyclophosphamide used concurrently with Cerubidine may also result in increased cardiotoxicity.,Cyclophosphamide,Cerubidine,effect,DRUG used concurrently BRAND may also result increased cardiotoxicity.
614,"However, the concomitant use of Argatroban and warfarin (5-7.5 mg initial oral dose followed by 2.5-6 mg/day orally for 6-10 days) results in prolongation of the prothrombin time (PT) and International Normalized Ratio (INR).",Argatroban,warfarin,effect,However concomitant use DRUG DRUG (5 7.5 mg initial oral dose followed 2.5 6 mg/day orally 6 10 days) results prolongation prothrombin time (PT) International Normalized Ratio (INR).
615,"Co-administration: Concomitant use of Argatroban with antiplatelet agents, thrombolytics, and other anticoagulants may increase the risk of bleeding.",Argatroban,antiplatelet agents,effect,Co administration: Concomitant use DRUG GROUP thrombolytics anticoagulants may increase risk bleeding.
616,"Co-administration: Concomitant use of Argatroban with antiplatelet agents, thrombolytics, and other anticoagulants may increase the risk of bleeding.",Argatroban,thrombolytics,effect,Co administration: Concomitant use DRUG antiplatelet agents GROUP anticoagulants may increase risk bleeding.
617,"Co-administration: Concomitant use of Argatroban with antiplatelet agents, thrombolytics, and other anticoagulants may increase the risk of bleeding.",Argatroban,anticoagulants,effect,Co administration: Concomitant use DRUG antiplatelet agents thrombolytics GROUP may increase risk bleeding.
618,ACE inhibitors: Reports suggest that NSAIDs may diminish the antihypertensive effect of Angiotensin Converting Enzyme (ACE) inhibitors.,NSAIDs,Angiotensin Converting Enzyme (ACE) inhibitors,effect,ACE inhibitors: Reports suggest GROUP may diminish antihypertensive effect GROUP .
619,"In patients with mild to moderate hypertension, administration of 25 mg daily of VIOXX with the ACE inhibitor benazepril, 10 to 40 mg for 4 weeks, was associated with an average increase in mean arterial pressure of about 3 mm Hg compared to ACE inhibitor alone.",VIOXX,benazepril,effect,patients mild moderate hypertension administration 25 mg daily BRAND ACE inhibitor DRUG 10 40 mg 4 weeks associated average increase mean arterial pressure 3 mm Hg compared ACE inhibitor alone.
620,This interaction should be given consideration in patients taking VIOXX concomitantly with ACE inhibitors.,VIOXX,ACE inhibitors,advise,interaction given consideration patients taking BRAND concomitantly GROUP .
621,"Aspirin: Concomitant administration of low-dose aspirin with VIOXX may result in an increased rate of GI ulceration or other complications, compared to use of VIOXX alone.",aspirin,VIOXX,effect,Aspirin: Concomitant administration low dose BRAND BRAND may result increased rate GI ulceration complications compared use VIOXX alone.
622,"Cimetidine: Co-administration with high doses of cimetidine [800 mg twice daily] increased the Cmax of rofecoxib by 21%, the AUC0-120hr by 23% and the t1/2 by 15%.",cimetidine,rofecoxib,mechanism,Cimetidine: Co administration high doses DRUG [800 mg twice daily] increased Cmax DRUG 21% AUC0 120hr 23% t1/2 15%.
623,"Furosemide: Clinical studies, as well as post-marketing observations, have shown that NSAIDs can reduce the natriuretic effect of furosemide and thiazides in some patients.",NSAIDs,furosemide,effect,Furosemide: Clinical studies well post marketing observations shown GROUP reduce natriuretic effect DRUG thiazides patients.
624,"Furosemide: Clinical studies, as well as post-marketing observations, have shown that NSAIDs can reduce the natriuretic effect of furosemide and thiazides in some patients.",NSAIDs,thiazides,effect,Furosemide: Clinical studies well post marketing observations shown GROUP reduce natriuretic effect furosemide GROUP patients.
625,Lithium: NSAIDs have produced an elevation of plasma lithium levels and a reduction in renal lithium clearance.,NSAIDs,lithium,mechanism,Lithium: GROUP produced elevation plasma DRUG levels reduction renal lithium clearance.
626,"Thus, when VIOXX and lithium are administered concurrently, subjects should be observed carefully for signs of lithium toxicity.",VIOXX,lithium,advise,Thus BRAND DRUG administered concurrently subjects observed carefully signs lithium toxicity.
627,"At higher than recommended doses, VIOXX 75 mg administered once daily for 10 days increased plasma concentrations by 23% as measured by AUC0-24hr in patients receiving methotrexate 7.5 to 15 mg/week for rheumatoid arthritis.",VIOXX,methotrexate,mechanism,higher recommended doses BRAND 75 mg administered daily 10 days increased plasma concentrations 23% measured AUC0 24hr patients receiving DRUG 7.5 15 mg/week rheumatoid arthritis.
628,"At 24 hours postdose, a similar proportion of patients treated with methotrexate alone (94%) and subsequently treated with methotrexate co-administered with 75 mg of rofecoxib (88%) had methotrexate plasma concentrations below the measurable limit (5 ng/mL).",methotrexate,rofecoxib,mechanism,24 hours postdose similar proportion patients treated methotrexate alone (94%) subsequently treated DRUG co administered 75 mg DRUG (88%) methotrexate plasma concentrations measurable limit (5 ng/mL).
629,Standard monitoring of methotrexate-related toxicity should be continued if VIOXX and methotrexate are administered concomitantly.,VIOXX,methotrexate,advise,Standard monitoring methotrexate related toxicity continued BRAND DRUG administered concomitantly.
630,"Rifampin: Co-administration of VIOXX with rifampin 600 mg daily, a potent inducer of hepatic metabolism, produced an approximate 50% decrease in rofecoxib plasma concentrations.",VIOXX,rifampin,mechanism,Rifampin: Co administration BRAND DRUG 600 mg daily potent inducer hepatic metabolism produced approximate 50% decrease rofecoxib plasma concentrations.
631,"Theophylline VIOXX 12.5, 25, and 50 mg administered once daily for 7 days increased plasma theophylline concentrations (AUC(0- )) by 38 to 60% in healthy subjects administered a single 300-mg dose of theophylline.",VIOXX,theophylline,mechanism,Theophylline BRAND 12.5 25 50 mg administered daily 7 days increased plasma DRUG concentrations (AUC(0 )) 38 60% healthy subjects administered single 300 mg dose theophylline.
632,Adequate monitoring of theophylline plasma concentrations should be considered when therapy with VIOXX is initiated or changed in patients receiving theophylline.,VIOXX,theophylline,advise,Adequate monitoring theophylline plasma concentrations considered therapy BRAND initiated changed patients receiving DRUG .
633,"Warfarin: Anticoagulant activity should be monitored, particularly in the first few days after initiating or changing VIOXX therapy in patients receiving warfarin or similar agents, since these patients are at an increased risk of bleeding complications.",VIOXX,warfarin,advise,Warfarin: Anticoagulant activity monitored particularly first days initiating changing BRAND therapy patients receiving DRUG similar agents since patients increased risk bleeding complications.
634,"In single and multiple dose studies in healthy subjects receiving both warfarin and rofecoxib, prothrombin time (measured as INR) was increased by approximately 8% to 11%.",warfarin,rofecoxib,effect,single multiple dose studies healthy subjects receiving DRUG DRUG prothrombin time (measured INR) increased approximately 8% 11%.
635,"In post-marketing experience, bleeding events have been reported, predominantly in the elderly, in association with increases in prothrombin time in patients receiving VIOXX concurrently with warfarin.",VIOXX,warfarin,effect,post marketing experience bleeding events reported predominantly elderly association increases prothrombin time patients receiving BRAND concurrently DRUG .
636,"DOSTINEX should not be administered concurrently with D2-antagonists, such as phenothiazines, butyrophenones, thioxanthines, or metoclopramide.",DOSTINEX,phenothiazines,advise,BRAND administered concurrently D2 antagonists GROUP butyrophenones thioxanthines metoclopramide.
637,"DOSTINEX should not be administered concurrently with D2-antagonists, such as phenothiazines, butyrophenones, thioxanthines, or metoclopramide.",DOSTINEX,butyrophenones,advise,BRAND administered concurrently D2 antagonists phenothiazines GROUP thioxanthines metoclopramide.
638,"DOSTINEX should not be administered concurrently with D2-antagonists, such as phenothiazines, butyrophenones, thioxanthines, or metoclopramide.",DOSTINEX,thioxanthines,advise,BRAND administered concurrently D2 antagonists phenothiazines butyrophenones GROUP metoclopramide.
639,"DOSTINEX should not be administered concurrently with D2-antagonists, such as phenothiazines, butyrophenones, thioxanthines, or metoclopramide.",DOSTINEX,metoclopramide,advise,BRAND administered concurrently D2 antagonists phenothiazines butyrophenones thioxanthines DRUG .
640,"When lansoprazole was administered concomitantly with theophylline (CYP1A2, CYP3A), a minor increase (10%) in the clearance of theophylline was seen.",lansoprazole,theophylline,mechanism,DRUG administered concomitantly DRUG (CYP1A2 CYP3A) minor increase (10%) clearance theophylline seen.
641,"Nonetheless, individual patients may require additional titration of their theophylline dosage when lansoprazole is started or stopped to ensure clinically effective blood levels.",theophylline,lansoprazole,advise,Nonetheless individual patients may require additional titration DRUG dosage DRUG started stopped ensure clinically effective blood levels.
642,"In a single-dose crossover study examining lansoprazole 30 mg and omeprazole 20 mg each administered alone and concomitantly with sucralfate 1 gram, absorption of the proton pump inhibitors was delayed and their bioavailability was reduced by 17% and 16%, respectively, when administered concomitantly with sucralfate.",proton pump inhibitors,sucralfate,mechanism,single dose crossover study examining lansoprazole 30 mg omeprazole 20 mg administered alone concomitantly sucralfate 1 gram absorption GROUP delayed bioavailability reduced 17% 16% respectively administered concomitantly DRUG .
643,"Therefore, proton pump inhibitors should be taken at least 30 minutes prior to sucralfate.",proton pump inhibitors,sucralfate,advise,Therefore GROUP taken least 30 minutes prior DRUG .
644,"therefore, it is theoretically possible that lansoprazole may interfere with the absorption of drugs where gastric pH is an important determinant of bioavailability (e.g. ketoconazole, ampicillin esters, iron salts, digoxin).",lansoprazole,ketoconazole,mechanism,therefore theoretically possible DRUG may interfere absorption drugs gastric pH important determinant bioavailability (e.g. DRUG ampicillin esters iron salts digoxin).
645,"therefore, it is theoretically possible that lansoprazole may interfere with the absorption of drugs where gastric pH is an important determinant of bioavailability (e.g. ketoconazole, ampicillin esters, iron salts, digoxin).",lansoprazole,ampicillin,mechanism,therefore theoretically possible DRUG may interfere absorption drugs gastric pH important determinant bioavailability (e.g. ketoconazole DRUG esters iron salts digoxin).
646,"therefore, it is theoretically possible that lansoprazole may interfere with the absorption of drugs where gastric pH is an important determinant of bioavailability (e.g. ketoconazole, ampicillin esters, iron salts, digoxin).",lansoprazole,iron,mechanism,therefore theoretically possible DRUG may interfere absorption drugs gastric pH important determinant bioavailability (e.g. ketoconazole ampicillin esters DRUG salts digoxin).
647,"therefore, it is theoretically possible that lansoprazole may interfere with the absorption of drugs where gastric pH is an important determinant of bioavailability (e.g. ketoconazole, ampicillin esters, iron salts, digoxin).",lansoprazole,digoxin,mechanism,therefore theoretically possible DRUG may interfere absorption drugs gastric pH important determinant bioavailability (e.g. ketoconazole ampicillin esters iron salts DRUG ).
648,"Fluvoxamine inhibits the CYP2C9 catalyzed biotransformation of tolbutamide.
",Fluvoxamine,tolbutamide,mechanism,DRUG inhibits CYP2C9 catalyzed biotransformation DRUG .
649,"RESULTS: During treatment with fluvoxamine, there was a statistically significant decrease in the median of the total clearance of tolbutamide, from 845 mL/h to 688 mL/h, among the volunteers who received 75 mg/d. ",fluvoxamine,tolbutamide,mechanism,RESULTS: treatment DRUG statistically significant decrease median total clearance DRUG 845 mL/h 688 mL/h among volunteers received 75 mg/d.
650,"In both species, (-)-NANM, but not (+)-NANM, antagonized the rate-decreasing effects of morphine on FI and FR responding. ",(-)-NANM,morphine,effect,species DRUG_N (+) NANM antagonized rate decreasing effects DRUG FI FR responding.
651,"In monkeys, the effects of (-)-NANM, but not (+)-NANM or PCP, were antagonized by naloxone; ",(-)-NANM,naloxone,effect,monkeys effects DRUG_N (+) NANM PCP antagonized DRUG ;
652,the doses of naloxone required to antagonize the effects of (-)-NANM were more than 100 times higher than those required to antagonize the effects of morphine. ,naloxone,(-)-NANM,effect,doses DRUG required antagonize effects DRUG_N 100 times higher required antagonize effects morphine.
653,the doses of naloxone required to antagonize the effects of (-)-NANM were more than 100 times higher than those required to antagonize the effects of morphine. ,naloxone,morphine,effect,doses DRUG required antagonize effects ( ) NANM 100 times higher required antagonize effects DRUG .
654,"Haloperidol reduced or eliminated the increases in FI responding produced by intermediate doses of either (+)-NANM or PCP in pigeons, but did not antagonize the decreases in FI or FR responding produced by high doses of PCP or either stereoisomer of NANM. ",Haloperidol,(+)-NANM,effect,DRUG reduced eliminated increases FI responding produced intermediate doses either DRUG_N PCP pigeons antagonize decreases FI FR responding produced high doses PCP either stereoisomer NANM.
655,"Haloperidol reduced or eliminated the increases in FI responding produced by intermediate doses of either (+)-NANM or PCP in pigeons, but did not antagonize the decreases in FI or FR responding produced by high doses of PCP or either stereoisomer of NANM. ",Haloperidol,PCP,effect,DRUG reduced eliminated increases FI responding produced intermediate doses either (+) NANM DRUG_N pigeons antagonize decreases FI FR responding produced high doses PCP either stereoisomer NANM.
656,Considerable caution should be exercised if PEGANONE is administered concurrently with Phenurone (phenacemide) since paranoid symptoms have been reported during therapy with this combination.,PEGANONE,Phenurone,advise,Considerable caution exercised BRAND administered concurrently BRAND (phenacemide) since paranoid symptoms reported therapy combination.
657,Considerable caution should be exercised if PEGANONE is administered concurrently with Phenurone (phenacemide) since paranoid symptoms have been reported during therapy with this combination.,PEGANONE,phenacemide,advise,Considerable caution exercised BRAND administered concurrently Phenurone ( DRUG ) since paranoid symptoms reported therapy combination.
658,"A two-way interaction between the hydantoin antiepileptic, phenytoin, and the coumarin anticoagulants has been suggested.",hydantoin antiepileptic,phenytoin,int,two way interaction GROUP DRUG coumarin anticoagulants suggested.
659,"A two-way interaction between the hydantoin antiepileptic, phenytoin, and the coumarin anticoagulants has been suggested.",hydantoin antiepileptic,coumarin anticoagulant,int,two way interaction GROUP phenytoin GROUP suggested.
660,"Presumably, phenytoin acts as a stimulator of coumarin metabolism and has been reported to cause decreased serum levels of the coumarin anticoagulants and increased prothrombin-proconvertin concentrations.",phenytoin,coumarin,mechanism,Presumably DRUG acts stimulator GROUP metabolism reported cause decreased serum levels coumarin anticoagulants increased prothrombin proconvertin concentrations.
661,"Presumably, phenytoin acts as a stimulator of coumarin metabolism and has been reported to cause decreased serum levels of the coumarin anticoagulants and increased prothrombin-proconvertin concentrations.",phenytoin,coumarin anticoagulants,mechanism,Presumably DRUG acts stimulator coumarin metabolism reported cause decreased serum levels GROUP increased prothrombin proconvertin concentrations.
662,"Conversely, the coumarin anticoagulants have been reported to increase the serum levels and prolong the serum half-life of phenytoin by inhibiting its metabolism.",coumarin anticoagulants,phenytoin,mechanism,Conversely GROUP reported increase serum levels prolong serum half life DRUG inhibiting metabolism.
663,Caution is therefore advised when administering PEGANONE to patients receiving coumarin anticoagulants.,PEGANONE,coumarin anticoagulants,advise,Caution therefore advised administering BRAND patients receiving GROUP .
664,Patients on warfarin-type anticoagulant therapy may require dosage adjustment of the anticoagulant during and after griseofulvin therapy.,warfarin-type anticoagulant,griseofulvin,advise,Patients GROUP therapy may require dosage adjustment anticoagulant DRUG therapy.
665,Concomitant use of barbiturates usually depresses griseofulvin activity and may necessitate raising the dosage.,barbiturates,griseofulvin,effect,Concomitant use GROUP usually depresses DRUG activity may necessitate raising dosage.
666,The concomitant administration of griseofulvin has been reported to reduce the efficacy of oral contraceptives and to increase the incidence of breakthrough bleeding.,griseofulvin,contraceptives,effect,concomitant administration DRUG reported reduce efficacy oral GROUP increase incidence breakthrough bleeding.
667,"Probenecid : Probenecid is known to interact with the metabolism or renal tubular excretion of many drugs (e.g., acetaminophen, acyclovir, angiotensin-converting enzyme inhibitors, aminosalicylic acid, barbiturates, benzodiazepines, bumetanide, clofibrate, methotrexate, famotidine, furosemide, nonsteroidal anti-inflammatory agents, theophylline, and zidovudine).",Probenecid,acetaminophen,mechanism,Probenecid : DRUG known interact metabolism renal tubular excretion many drugs (e.g. DRUG acyclovir angiotensin converting enzyme inhibitors aminosalicylic acid barbiturates benzodiazepines bumetanide clofibrate methotrexate famotidine furosemide nonsteroidal anti inflammatory agents theophylline zidovudine).
668,"Probenecid : Probenecid is known to interact with the metabolism or renal tubular excretion of many drugs (e.g., acetaminophen, acyclovir, angiotensin-converting enzyme inhibitors, aminosalicylic acid, barbiturates, benzodiazepines, bumetanide, clofibrate, methotrexate, famotidine, furosemide, nonsteroidal anti-inflammatory agents, theophylline, and zidovudine).",Probenecid,acyclovir,mechanism,Probenecid : DRUG known interact metabolism renal tubular excretion many drugs (e.g. acetaminophen DRUG angiotensin converting enzyme inhibitors aminosalicylic acid barbiturates benzodiazepines bumetanide clofibrate methotrexate famotidine furosemide nonsteroidal anti inflammatory agents theophylline zidovudine).
669,"Probenecid : Probenecid is known to interact with the metabolism or renal tubular excretion of many drugs (e.g., acetaminophen, acyclovir, angiotensin-converting enzyme inhibitors, aminosalicylic acid, barbiturates, benzodiazepines, bumetanide, clofibrate, methotrexate, famotidine, furosemide, nonsteroidal anti-inflammatory agents, theophylline, and zidovudine).",Probenecid,angiotensin-converting enzyme inhibitors,mechanism,Probenecid : DRUG known interact metabolism renal tubular excretion many drugs (e.g. acetaminophen acyclovir GROUP aminosalicylic acid barbiturates benzodiazepines bumetanide clofibrate methotrexate famotidine furosemide nonsteroidal anti inflammatory agents theophylline zidovudine).
670,"Probenecid : Probenecid is known to interact with the metabolism or renal tubular excretion of many drugs (e.g., acetaminophen, acyclovir, angiotensin-converting enzyme inhibitors, aminosalicylic acid, barbiturates, benzodiazepines, bumetanide, clofibrate, methotrexate, famotidine, furosemide, nonsteroidal anti-inflammatory agents, theophylline, and zidovudine).",Probenecid,aminosalicylic acid,mechanism,Probenecid : DRUG known interact metabolism renal tubular excretion many drugs (e.g. acetaminophen acyclovir angiotensin converting enzyme inhibitors DRUG barbiturates benzodiazepines bumetanide clofibrate methotrexate famotidine furosemide nonsteroidal anti inflammatory agents theophylline zidovudine).
671,"Probenecid : Probenecid is known to interact with the metabolism or renal tubular excretion of many drugs (e.g., acetaminophen, acyclovir, angiotensin-converting enzyme inhibitors, aminosalicylic acid, barbiturates, benzodiazepines, bumetanide, clofibrate, methotrexate, famotidine, furosemide, nonsteroidal anti-inflammatory agents, theophylline, and zidovudine).",Probenecid,barbiturates,mechanism,Probenecid : DRUG known interact metabolism renal tubular excretion many drugs (e.g. acetaminophen acyclovir angiotensin converting enzyme inhibitors aminosalicylic acid GROUP benzodiazepines bumetanide clofibrate methotrexate famotidine furosemide nonsteroidal anti inflammatory agents theophylline zidovudine).
672,"Probenecid : Probenecid is known to interact with the metabolism or renal tubular excretion of many drugs (e.g., acetaminophen, acyclovir, angiotensin-converting enzyme inhibitors, aminosalicylic acid, barbiturates, benzodiazepines, bumetanide, clofibrate, methotrexate, famotidine, furosemide, nonsteroidal anti-inflammatory agents, theophylline, and zidovudine).",Probenecid,benzodiazepines,mechanism,Probenecid : DRUG known interact metabolism renal tubular excretion many drugs (e.g. acetaminophen acyclovir angiotensin converting enzyme inhibitors aminosalicylic acid barbiturates GROUP bumetanide clofibrate methotrexate famotidine furosemide nonsteroidal anti inflammatory agents theophylline zidovudine).
673,"Probenecid : Probenecid is known to interact with the metabolism or renal tubular excretion of many drugs (e.g., acetaminophen, acyclovir, angiotensin-converting enzyme inhibitors, aminosalicylic acid, barbiturates, benzodiazepines, bumetanide, clofibrate, methotrexate, famotidine, furosemide, nonsteroidal anti-inflammatory agents, theophylline, and zidovudine).",Probenecid,bumetanide,mechanism,Probenecid : DRUG known interact metabolism renal tubular excretion many drugs (e.g. acetaminophen acyclovir angiotensin converting enzyme inhibitors aminosalicylic acid barbiturates benzodiazepines DRUG clofibrate methotrexate famotidine furosemide nonsteroidal anti inflammatory agents theophylline zidovudine).
674,"Probenecid : Probenecid is known to interact with the metabolism or renal tubular excretion of many drugs (e.g., acetaminophen, acyclovir, angiotensin-converting enzyme inhibitors, aminosalicylic acid, barbiturates, benzodiazepines, bumetanide, clofibrate, methotrexate, famotidine, furosemide, nonsteroidal anti-inflammatory agents, theophylline, and zidovudine).",Probenecid,clofibrate,mechanism,Probenecid : DRUG known interact metabolism renal tubular excretion many drugs (e.g. acetaminophen acyclovir angiotensin converting enzyme inhibitors aminosalicylic acid barbiturates benzodiazepines bumetanide DRUG methotrexate famotidine furosemide nonsteroidal anti inflammatory agents theophylline zidovudine).
675,"Probenecid : Probenecid is known to interact with the metabolism or renal tubular excretion of many drugs (e.g., acetaminophen, acyclovir, angiotensin-converting enzyme inhibitors, aminosalicylic acid, barbiturates, benzodiazepines, bumetanide, clofibrate, methotrexate, famotidine, furosemide, nonsteroidal anti-inflammatory agents, theophylline, and zidovudine).",Probenecid,methotrexate,mechanism,Probenecid : DRUG known interact metabolism renal tubular excretion many drugs (e.g. acetaminophen acyclovir angiotensin converting enzyme inhibitors aminosalicylic acid barbiturates benzodiazepines bumetanide clofibrate DRUG famotidine furosemide nonsteroidal anti inflammatory agents theophylline zidovudine).
676,"Probenecid : Probenecid is known to interact with the metabolism or renal tubular excretion of many drugs (e.g., acetaminophen, acyclovir, angiotensin-converting enzyme inhibitors, aminosalicylic acid, barbiturates, benzodiazepines, bumetanide, clofibrate, methotrexate, famotidine, furosemide, nonsteroidal anti-inflammatory agents, theophylline, and zidovudine).",Probenecid,famotidine,mechanism,Probenecid : DRUG known interact metabolism renal tubular excretion many drugs (e.g. acetaminophen acyclovir angiotensin converting enzyme inhibitors aminosalicylic acid barbiturates benzodiazepines bumetanide clofibrate methotrexate DRUG furosemide nonsteroidal anti inflammatory agents theophylline zidovudine).
677,"Probenecid : Probenecid is known to interact with the metabolism or renal tubular excretion of many drugs (e.g., acetaminophen, acyclovir, angiotensin-converting enzyme inhibitors, aminosalicylic acid, barbiturates, benzodiazepines, bumetanide, clofibrate, methotrexate, famotidine, furosemide, nonsteroidal anti-inflammatory agents, theophylline, and zidovudine).",Probenecid,furosemide,mechanism,Probenecid : DRUG known interact metabolism renal tubular excretion many drugs (e.g. acetaminophen acyclovir angiotensin converting enzyme inhibitors aminosalicylic acid barbiturates benzodiazepines bumetanide clofibrate methotrexate famotidine DRUG nonsteroidal anti inflammatory agents theophylline zidovudine).
678,"Probenecid : Probenecid is known to interact with the metabolism or renal tubular excretion of many drugs (e.g., acetaminophen, acyclovir, angiotensin-converting enzyme inhibitors, aminosalicylic acid, barbiturates, benzodiazepines, bumetanide, clofibrate, methotrexate, famotidine, furosemide, nonsteroidal anti-inflammatory agents, theophylline, and zidovudine).",Probenecid,nonsteroidal anti-inflammatory,mechanism,Probenecid : DRUG known interact metabolism renal tubular excretion many drugs (e.g. acetaminophen acyclovir angiotensin converting enzyme inhibitors aminosalicylic acid barbiturates benzodiazepines bumetanide clofibrate methotrexate famotidine furosemide GROUP agents theophylline zidovudine).
679,"Probenecid : Probenecid is known to interact with the metabolism or renal tubular excretion of many drugs (e.g., acetaminophen, acyclovir, angiotensin-converting enzyme inhibitors, aminosalicylic acid, barbiturates, benzodiazepines, bumetanide, clofibrate, methotrexate, famotidine, furosemide, nonsteroidal anti-inflammatory agents, theophylline, and zidovudine).",Probenecid,theophylline,mechanism,Probenecid : DRUG known interact metabolism renal tubular excretion many drugs (e.g. acetaminophen acyclovir angiotensin converting enzyme inhibitors aminosalicylic acid barbiturates benzodiazepines bumetanide clofibrate methotrexate famotidine furosemide nonsteroidal anti inflammatory agents DRUG zidovudine).
680,"Probenecid : Probenecid is known to interact with the metabolism or renal tubular excretion of many drugs (e.g., acetaminophen, acyclovir, angiotensin-converting enzyme inhibitors, aminosalicylic acid, barbiturates, benzodiazepines, bumetanide, clofibrate, methotrexate, famotidine, furosemide, nonsteroidal anti-inflammatory agents, theophylline, and zidovudine).",Probenecid,zidovudine,mechanism,Probenecid : DRUG known interact metabolism renal tubular excretion many drugs (e.g. acetaminophen acyclovir angiotensin converting enzyme inhibitors aminosalicylic acid barbiturates benzodiazepines bumetanide clofibrate methotrexate famotidine furosemide nonsteroidal anti inflammatory agents theophylline DRUG ).
681,Zidovudine should either be temporarily discontinued or decreased by 50% when coadministered with probenecid on the day of VISTIDE infusion.,Zidovudine,probenecid,advise,DRUG either temporarily discontinued decreased 50% coadministered DRUG day VISTIDE infusion.
682,"Nephrotoxic agents : Concomitant administration of VISTIDE and agents with nephrotoxic potential [e.g., intravenous aminoglycosides (e.g., tobramycin, gentamicin, and amikacin), amphotericin B, foscarnet, intravenous pentamidine, vancomycin, and non-steroidal anti-inflammatory agents] is contraindicated.",VISTIDE,aminoglycosides,advise,Nephrotoxic agents : Concomitant administration BRAND agents nephrotoxic potential [e.g. intravenous GROUP (e.g. tobramycin gentamicin amikacin) amphotericin B foscarnet intravenous pentamidine vancomycin non steroidal anti inflammatory agents] contraindicated.
