,sentence_text,e1,e2,relation_type,normalized_sentence
223,"The IV methylprednisolone dose should be reduced by approximately 25%, and the oral methylprednisolone dose should be reduced by approximately 50% when coadministered with Aprepitant to achieve exposures of methylprednisolone similar to those obtained when it is given without Aprepitant.",methylprednisolone,Aprepitant,advise,"The_bf IV_bf DRUG dose_be reduced_be approximately_be 25%_be ,_be oral_be DRUG dose_af reduced_af approximately_af 50%_af coadministered_af OTHER_DRUG achieve_af exposures_af DRUG similar_af obtained_af given_af without_af OTHER_DRUG ._af"
224,"The IV methylprednisolone dose should be reduced by approximately 25%, and the oral methylprednisolone dose should be reduced by approximately 50% when coadministered with Aprepitant to achieve exposures of methylprednisolone similar to those obtained when it is given without Aprepitant.",methylprednisolone,Aprepitant,advise,"The_bf IV_bf DRUG dose_be reduced_be approximately_be 25%_be ,_be oral_be DRUG dose_af reduced_af approximately_af 50%_af coadministered_af OTHER_DRUG achieve_af exposures_af DRUG similar_af obtained_af given_af without_af OTHER_DRUG ._af"
225,"Although there was no effect of Aprepitant on the plasma AUC of R(+) or S(-) warfarin determined on Day 3, there was a 34% decrease in S(-)warfarin (a CYP2C9 substrate) trough concentration accompanied by a 14% decrease in the prothrombin time (reported as International Normalized Ratio or INR) 5 days after completion of dosing with Aprepitant.",S(-)warfarin,Aprepitant,mechanism,"Although_bf effect_bf OTHER_DRUG plasma_be AUC_be R(+)_be S(-)_be warfarin_be determined_be Day_be 3_be ,_be 34%_be decrease_be DRUG (a_af CYP2C9_af substrate)_af trough_af concentration_af accompanied_af 14%_af decrease_af prothrombin_af time_af (reported_af International_af Normalized_af Ratio_af INR)_af 5_af days_af completion_af dosing_af OTHER_DRUG ._af"
226,"In patients on chronic warfarin therapy, the prothrombin time (INR) should be closely monitored in the 2-week period, particularly at 7 to 10 days, following initiation of the 3-day regimen of Aprepitant with each chemotherapy cycle.",warfarin,Aprepitant,advise,"In_bf patients_bf chronic_bf DRUG therapy_be ,_be prothrombin_be time_be (INR)_be closely_be monitored_be 2-week_be period_be ,_be particularly_be 7_be 10_be days_be ,_be following_be initiation_be 3-day_be regimen_be OTHER_DRUG chemotherapy_af cycle_af ._af"
227,"Tolbutamide: Aprepitant, when given as 125 mg on Day 1 and 80 mg/day on Days 2 and 3, decreased the AUC of tolbutamide (a CYP2C9 substrate) by 23% on Day 4, 28% on Day 8, and 15% on Day 15, when a single dose of tolbutamide 500 mg was admini,stered orally prior to the administration of the 3-day regimen of Aprepitant and on Days 4,8, and 15.",tolbutamide,Aprepitant,mechanism,"Tolbutamide:_bf OTHER_DRUG ,_be given_be 125_be mg_be Day_be 1_be 80_be mg/day_be Days_be 2_be 3_be ,_be decreased_be AUC_be DRUG (a_af CYP2C9_af substrate)_af 23%_af Day_af 4_af ,_af 28%_af Day_af 8_af ,_af 15%_af Day_af 15_af ,_af single_af dose_af DRUG 500_af mg_af admini_af ,_af stered_af orally_af prior_af administration_af 3-day_af regimen_af OTHER_DRUG Days_af 4_af ,_af 8_af ,_af 15_af ._af"
228,"Oral contraceptives: Aprepitant, when given once daily for 14 days as a 100-mg capsule with an oral contraceptive containing 35 mcg of ethinyl estradiol and 1 mg of norethindrone, decreased the AUC of ethinyl estradiol by 43%, and decreased the AUC of norethindrone by 8%;",Aprepitant,ethinyl estradiol,mechanism,"Oral_bf contraceptives:_bf DRUG ,_be given_be daily_be 14_be days_be 100-mg_be capsule_be oral_be contraceptive_be containing_be 35_be mcg_be ethinyl_be estradiol_be 1_be mg_be norethindrone_be ,_be decreased_be AUC_be ethinyl_be estradiol_be 43%_be ,_be decreased_be AUC_be norethindrone_be 8%;_be"
229,"Oral contraceptives: Aprepitant, when given once daily for 14 days as a 100-mg capsule with an oral contraceptive containing 35 mcg of ethinyl estradiol and 1 mg of norethindrone, decreased the AUC of ethinyl estradiol by 43%, and decreased the AUC of norethindrone by 8%;",Aprepitant,norethindrone,mechanism,"Oral_bf contraceptives:_bf DRUG ,_be given_be daily_be 14_be days_be 100-mg_be capsule_be oral_be contraceptive_be containing_be 35_be mcg_be ethinyl_be estradiol_be 1_be mg_be OTHER_DRUG ,_af decreased_af AUC_af ethinyl_af estradiol_af 43%_af ,_af decreased_af AUC_af OTHER_DRUG 8%;_af"
230,"therefore, the efficacy of oral contraceptives during administration of Aprepitant may be reduced.",contraceptives,Aprepitant,effect,"therefore_bf ,_bf efficacy_bf oral_bf DRUG administration_be OTHER_DRUG may_af reduced_af ._af"
231,"Although a 3-day regimen of Aprepitant given concomitantly with oral contraceptives has not been studied, alternative or back-up methods of contraception should be used.",Aprepitant,contraceptives,advise,"Although_bf 3-day_bf regimen_bf DRUG given_be concomitantly_be oral_be OTHER_DRUG studied_af ,_af alternative_af back-up_af methods_af contraception_af used_af ._af"
232,"Midazolam: Aprepitant increased the AUC of midazolam, a sensitive CYP3A4 substrate, by 2.3-fold on Day 1 and 3.3-fold on Day 5, when a single oral dose of midazolam 2 mg was coadministered on Day 1 and Day 5 of a regimen of Aprepitant 125 mg on Day 1 and 80 mg/day on Days 2 through 5.",Aprepitant,midazolam,mechanism,"Midazolam:_bf DRUG increased_be AUC_be OTHER_DRUG ,_af sensitive_af CYP3A4_af substrate_af ,_af 2_af ._af 3-fold_af Day_af 1_af 3_af ._af 3-fold_af Day_af 5_af ,_af single_af oral_af dose_af OTHER_DRUG 2_af mg_af coadministered_af Day_af 1_af Day_af 5_af regimen_af DRUG 125_af mg_af Day_af 1_af 80_af mg/day_af Days_af 2_af 5_af ._af"
233,"The potential effects of increased plasma concentrations of midazolam or other benzodiazepines metabolized via CYP3A4 (alprazolam, triazolam) should be considered when coadministering these agents with Aprepitant.",midazolam,Aprepitant,advise,"The_bf potential_bf effects_bf increased_bf plasma_bf concentrations_bf DRUG benzodiazepines_be metabolized_be via_be CYP3A4_be (alprazolam_be ,_be triazolam)_be considered_be coadministering_be agents_be OTHER_DRUG ._af"
234,"The potential effects of increased plasma concentrations of midazolam or other benzodiazepines metabolized via CYP3A4 (alprazolam, triazolam) should be considered when coadministering these agents with Aprepitant.",benzodiazepines,Aprepitant,advise,"The_bf potential_bf effects_bf increased_bf plasma_bf concentrations_bf midazolam_bf DRUG metabolized_be via_be CYP3A4_be (alprazolam_be ,_be triazolam)_be considered_be coadministering_be agents_be OTHER_DRUG ._af"
235,"The potential effects of increased plasma concentrations of midazolam or other benzodiazepines metabolized via CYP3A4 (alprazolam, triazolam) should be considered when coadministering these agents with Aprepitant.",alprazolam,Aprepitant,advise,"The_bf potential_bf effects_bf increased_bf plasma_bf concentrations_bf midazolam_bf benzodiazepines_bf metabolized_bf via_bf CYP3A4_bf (alprazolam_bf ,_bf triazolam)_bf considered_bf coadministering_bf agents_bf OTHER_DRUG ._be"
236,"The potential effects of increased plasma concentrations of midazolam or other benzodiazepines metabolized via CYP3A4 (alprazolam, triazolam) should be considered when coadministering these agents with Aprepitant.",triazolam,Aprepitant,advise,"The_bf potential_bf effects_bf increased_bf plasma_bf concentrations_bf midazolam_bf benzodiazepines_bf metabolized_bf via_bf CYP3A4_bf (alprazolam_bf ,_bf triazolam)_bf considered_bf coadministering_bf agents_bf OTHER_DRUG ._be"
237,Aprepitant increased the AUC of midazolam by 25% on Day 4 and decreased the AUC of midazolam by 19% on Day 8 relative to the dosing of Aprepitant on Days 1 through 3.,Aprepitant,midazolam,mechanism,DRUG increased_be AUC_be OTHER_DRUG 25%_af Day_af 4_af decreased_af AUC_af OTHER_DRUG 19%_af Day_af 8_af relative_af dosing_af DRUG Days_af 1_af 3_af ._af
238,Aprepitant increased the AUC of midazolam by 25% on Day 4 and decreased the AUC of midazolam by 19% on Day 8 relative to the dosing of Aprepitant on Days 1 through 3.,Aprepitant,midazolam,mechanism,DRUG increased_be AUC_be OTHER_DRUG 25%_af Day_af 4_af decreased_af AUC_af OTHER_DRUG 19%_af Day_af 8_af relative_af dosing_af DRUG Days_af 1_af 3_af ._af
239,"Consequently, concomitant administration of Aprepitant with strong CYP3A4 inhibitors (e.g., ketoconazole, itraconazole, nefazodone, troleandomycin, clarithromycin, ritonavir, nelfinavir) should be approached with caution.",Aprepitant,ketoconazole,advise,"Consequently_bf ,_bf concomitant_bf administration_bf DRUG strong_be CYP3A4_be inhibitors_be (e_be ._be g_be ._be ,_be OTHER_DRUG ,_af itraconazole_af ,_af nefazodone_af ,_af troleandomycin_af ,_af clarithromycin_af ,_af ritonavir_af ,_af nelfinavir)_af approached_af caution_af ._af"
240,"Consequently, concomitant administration of Aprepitant with strong CYP3A4 inhibitors (e.g., ketoconazole, itraconazole, nefazodone, troleandomycin, clarithromycin, ritonavir, nelfinavir) should be approached with caution.",Aprepitant,itraconazole,advise,"Consequently_bf ,_bf concomitant_bf administration_bf DRUG strong_be CYP3A4_be inhibitors_be (e_be ._be g_be ._be ,_be ketoconazole_be ,_be OTHER_DRUG ,_af nefazodone_af ,_af troleandomycin_af ,_af clarithromycin_af ,_af ritonavir_af ,_af nelfinavir)_af approached_af caution_af ._af"
241,"Consequently, concomitant administration of Aprepitant with strong CYP3A4 inhibitors (e.g., ketoconazole, itraconazole, nefazodone, troleandomycin, clarithromycin, ritonavir, nelfinavir) should be approached with caution.",Aprepitant,nefazodone,advise,"Consequently_bf ,_bf concomitant_bf administration_bf DRUG strong_be CYP3A4_be inhibitors_be (e_be ._be g_be ._be ,_be ketoconazole_be ,_be itraconazole_be ,_be OTHER_DRUG ,_af troleandomycin_af ,_af clarithromycin_af ,_af ritonavir_af ,_af nelfinavir)_af approached_af caution_af ._af"
242,"Consequently, concomitant administration of Aprepitant with strong CYP3A4 inhibitors (e.g., ketoconazole, itraconazole, nefazodone, troleandomycin, clarithromycin, ritonavir, nelfinavir) should be approached with caution.",Aprepitant,troleandomycin,advise,"Consequently_bf ,_bf concomitant_bf administration_bf DRUG strong_be CYP3A4_be inhibitors_be (e_be ._be g_be ._be ,_be ketoconazole_be ,_be itraconazole_be ,_be nefazodone_be ,_be OTHER_DRUG ,_af clarithromycin_af ,_af ritonavir_af ,_af nelfinavir)_af approached_af caution_af ._af"
243,"Consequently, concomitant administration of Aprepitant with strong CYP3A4 inhibitors (e.g., ketoconazole, itraconazole, nefazodone, troleandomycin, clarithromycin, ritonavir, nelfinavir) should be approached with caution.",Aprepitant,clarithromycin,advise,"Consequently_bf ,_bf concomitant_bf administration_bf DRUG strong_be CYP3A4_be inhibitors_be (e_be ._be g_be ._be ,_be ketoconazole_be ,_be itraconazole_be ,_be nefazodone_be ,_be troleandomycin_be ,_be OTHER_DRUG ,_af ritonavir_af ,_af nelfinavir)_af approached_af caution_af ._af"
244,"Consequently, concomitant administration of Aprepitant with strong CYP3A4 inhibitors (e.g., ketoconazole, itraconazole, nefazodone, troleandomycin, clarithromycin, ritonavir, nelfinavir) should be approached with caution.",Aprepitant,ritonavir,advise,"Consequently_bf ,_bf concomitant_bf administration_bf DRUG strong_be CYP3A4_be inhibitors_be (e_be ._be g_be ._be ,_be ketoconazole_be ,_be itraconazole_be ,_be nefazodone_be ,_be troleandomycin_be ,_be clarithromycin_be ,_be OTHER_DRUG ,_af nelfinavir)_af approached_af caution_af ._af"
245,"Consequently, concomitant administration of Aprepitant with strong CYP3A4 inhibitors (e.g., ketoconazole, itraconazole, nefazodone, troleandomycin, clarithromycin, ritonavir, nelfinavir) should be approached with caution.",Aprepitant,nelfinavir,advise,"Consequently_bf ,_bf concomitant_bf administration_bf DRUG strong_be CYP3A4_be inhibitors_be (e_be ._be g_be ._be ,_be ketoconazole_be ,_be itraconazole_be ,_be nefazodone_be ,_be troleandomycin_be ,_be clarithromycin_be ,_be ritonavir_be ,_be nelfinavir)_be approached_be caution_be ._be"
246,"Because moderate CYP3A4 inhibitors (e.g., diltiazem) result in 2-fold increase in plasma concentrations of aprepitant, concomitant administration should also be approached with caution.",diltiazem,aprepitant,advise,"Because_bf moderate_bf CYP3A4_bf inhibitors_bf (e_bf ._bf g_bf ._bf ,_bf diltiazem)_bf result_bf 2-fold_bf increase_bf plasma_bf concentrations_bf OTHER_DRUG ,_be concomitant_be administration_be also_be approached_be caution_be ._be"
247,"therefore, coadministration of Aprepitant with drugs that strongly induce CYP3A4 activity (e.g., rifampin, carbamazepine, phenytoin) may result in reduced plasma concentrations of aprepitant that may result in decreased efficacy of Aprepitant.",Aprepitant,rifampin,mechanism,"therefore_bf ,_bf coadministration_bf DRUG drugs_be strongly_be induce_be CYP3A4_be activity_be (e_be ._be g_be ._be ,_be OTHER_DRUG ,_af carbamazepine_af ,_af phenytoin)_af may_af result_af reduced_af plasma_af concentrations_af DRUG may_af result_af decreased_af efficacy_af DRUG ._af"
248,"therefore, coadministration of Aprepitant with drugs that strongly induce CYP3A4 activity (e.g., rifampin, carbamazepine, phenytoin) may result in reduced plasma concentrations of aprepitant that may result in decreased efficacy of Aprepitant.",Aprepitant,phenytoin,mechanism,"therefore_bf ,_bf coadministration_bf DRUG drugs_be strongly_be induce_be CYP3A4_be activity_be (e_be ._be g_be ._be ,_be rifampin_be ,_be carbamazepine_be ,_be phenytoin)_be may_be result_be reduced_be plasma_be concentrations_be DRUG may_af result_af decreased_af efficacy_af DRUG ._af"
249,"therefore, coadministration of Aprepitant with drugs that strongly induce CYP3A4 activity (e.g., rifampin, carbamazepine, phenytoin) may result in reduced plasma concentrations of aprepitant that may result in decreased efficacy of Aprepitant.",Aprepitant,aprepitant,mechanism,"therefore_bf ,_bf coadministration_bf DRUG drugs_be strongly_be induce_be CYP3A4_be activity_be (e_be ._be g_be ._be ,_be rifampin_be ,_be carbamazepine_be ,_be phenytoin)_be may_be result_be reduced_be plasma_be concentrations_be DRUG may_af result_af decreased_af efficacy_af DRUG ._af"
250,"Ketoconazole: When a single 125-mg dose of Aprepitant was administered on Day5 of a 10-day regimen of 400 mg/day of ketoconazole, a strong CYP3A4 inhibitor, the AUC of aprepitant increased approximately 5-fold and the mean terminal half-life of aprepitant increased approximately 3-fold.",Aprepitant,ketoconazole,mechanism,"Ketoconazole:_bf When_bf single_bf 125-mg_bf dose_bf DRUG administered_be Day5_be 10-day_be regimen_be 400_be mg/day_be OTHER_DRUG ,_af strong_af CYP3A4_af inhibitor_af ,_af AUC_af DRUG increased_af approximately_af 5-fold_af mean_af terminal_af half-life_af DRUG increased_af approximately_af 3-fold_af ._af"
251,"Rifampin: When a single 375-mg dose of Aprepitant was administered on Day9 of a 14-day regimen of 600 mg/day of rifampin, a strong CYP3A4 inducer, the AUC of aprepitant decreased approximately 11-fold and the mean terminal half-life decreased approximately 3-fold.",Aprepitant,rifampin,mechanism,"Rifampin:_bf When_bf single_bf 375-mg_bf dose_bf DRUG administered_be Day9_be 14-day_be regimen_be 600_be mg/day_be OTHER_DRUG ,_af strong_af CYP3A4_af inducer_af ,_af AUC_af DRUG decreased_af approximately_af 11-fold_af mean_af terminal_af half-life_af decreased_af approximately_af 3-fold_af ._af"
252,"Diltiazem: In patients with mild to moderate hypertension, administration of aprepitant once daily, as a tablet formulation comparable to 230 mg of the capsule formulation, with diltiazem 120 mg 3 times daily for 5 days, resulted in a 2-fold increase of aprepitant AUC and a simultaneous 1.7-fold increase of diltiazem AUC.",aprepitant,diltiazem,mechanism,"Diltiazem:_bf In_bf patients_bf mild_bf moderate_bf hypertension_bf ,_bf administration_bf DRUG daily_be ,_be tablet_be formulation_be comparable_be 230_be mg_be capsule_be formulation_be ,_be OTHER_DRUG 120_af mg_af 3_af times_af daily_af 5_af days_af ,_af resulted_af 2-fold_af increase_af DRUG AUC_af simultaneous_af 1_af ._af 7-fold_af increase_af OTHER_DRUG AUC_af ._af"
253,"Paroxetine: Coadministration of once daily doses of aprepitant, as a tablet formulation comparable to 85 mg or 170 mg of the capsule formulation, with paroxetine 20 mg once daily, resulted in a decrease in AUC by approximately 25% and Cmax, by approximately 20% of both aprepitant and paroxetine.",aprepitant,paroxetine,mechanism,"Paroxetine:_bf Coadministration_bf daily_bf doses_bf DRUG ,_be tablet_be formulation_be comparable_be 85_be mg_be 170_be mg_be capsule_be formulation_be ,_be OTHER_DRUG 20_af mg_af daily_af ,_af resulted_af decrease_af AUC_af approximately_af 25%_af Cmax_af ,_af approximately_af 20%_af DRUG OTHER_DRUG ._af"
254,"However, the concomitant use of Argatroban and warfarin (5-7.5 mg initial oral dose followed by 2.5-6 mg/day orally for 6-10 days) results in prolongation of the prothrombin time (PT) and International Normalized Ratio (INR).",Argatroban,warfarin,effect,"However_bf ,_bf concomitant_bf use_bf DRUG OTHER_DRUG (5-7_af ._af 5_af mg_af initial_af oral_af dose_af followed_af 2_af ._af 5-6_af mg/day_af orally_af 6-10_af days)_af results_af prolongation_af prothrombin_af time_af (PT)_af International_af Normalized_af Ratio_af (INR)_af ._af"
255,"Co-administration: Concomitant use of Argatroban with antiplatelet agents, thrombolytics, and other anticoagulants may increase the risk of bleeding.",Argatroban,antiplatelet agents,effect,"Co-administration:_bf Concomitant_bf use_bf DRUG antiplatelet_be agents_be ,_be thrombolytics_be ,_be anticoagulants_be may_be increase_be risk_be bleeding_be ._be"
256,"Co-administration: Concomitant use of Argatroban with antiplatelet agents, thrombolytics, and other anticoagulants may increase the risk of bleeding.",Argatroban,thrombolytics,effect,"Co-administration:_bf Concomitant_bf use_bf DRUG antiplatelet_be agents_be ,_be OTHER_DRUG ,_af anticoagulants_af may_af increase_af risk_af bleeding_af ._af"
257,"Co-administration: Concomitant use of Argatroban with antiplatelet agents, thrombolytics, and other anticoagulants may increase the risk of bleeding.",Argatroban,anticoagulants,effect,"Co-administration:_bf Concomitant_bf use_bf DRUG antiplatelet_be agents_be ,_be thrombolytics_be ,_be OTHER_DRUG may_af increase_af risk_af bleeding_af ._af"
258,"Drug-Drug Interactions Given the primary CNS effects of aripiprazole, caution should be used when ABILIFY is taken in combination with other centrally acting drugs and alcohol.",ABILIFY,centrally acting drugs,advise,"Drug-Drug_bf Interactions_bf Given_bf primary_bf CNS_bf effects_bf aripiprazole_bf ,_bf caution_bf used_bf DRUG taken_be combination_be centrally_be acting_be drugs_be alcohol_be ._be"
259,"Drug-Drug Interactions Given the primary CNS effects of aripiprazole, caution should be used when ABILIFY is taken in combination with other centrally acting drugs and alcohol.",ABILIFY,alcohol,advise,"Drug-Drug_bf Interactions_bf Given_bf primary_bf CNS_bf effects_bf aripiprazole_bf ,_bf caution_bf used_bf DRUG taken_be combination_be centrally_be acting_be drugs_be OTHER_DRUG ._af"
260,"1- adrenergic receptor antagonism, aripiprazole has the potential to enhance the effect of certain antihypertensive agents.",aripiprazole,antihypertensive agents,effect,"1-_bf adrenergic_bf receptor_bf antagonism_bf ,_bf DRUG potential_be enhance_be effect_be certain_be antihypertensive_be agents_be ._be"
261,"Agents that induce CYP3A4 (eg, carbamazepine) could cause an increase in aripiprazole clearance and lower blood levels.",carbamazepine,aripiprazole,mechanism,"Agents_bf induce_bf CYP3A4_bf (eg_bf ,_bf carbamazepine)_bf could_bf cause_bf increase_bf OTHER_DRUG clearance_be lower_be blood_be levels_be ._be"
262,"Inhibitors of CYP3A4 (eg, ketoconazole) or CYP2D6 (eg, quinidine, fluoxetine, or paroxetine) can inhibit aripiprazole elimination and cause increased blood levels.",ketoconazole,aripiprazole,mechanism,"Inhibitors_bf CYP3A4_bf (eg_bf ,_bf ketoconazole)_bf CYP2D6_bf (eg_bf ,_bf quinidine_bf ,_bf fluoxetine_bf ,_bf paroxetine)_bf inhibit_bf OTHER_DRUG elimination_be cause_be increased_be blood_be levels_be ._be"
263,"Inhibitors of CYP3A4 (eg, ketoconazole) or CYP2D6 (eg, quinidine, fluoxetine, or paroxetine) can inhibit aripiprazole elimination and cause increased blood levels.",quinidine,aripiprazole,mechanism,"Inhibitors_bf CYP3A4_bf (eg_bf ,_bf ketoconazole)_bf CYP2D6_bf (eg_bf ,_bf DRUG ,_be fluoxetine_be ,_be paroxetine)_be inhibit_be OTHER_DRUG elimination_af cause_af increased_af blood_af levels_af ._af"
264,"Inhibitors of CYP3A4 (eg, ketoconazole) or CYP2D6 (eg, quinidine, fluoxetine, or paroxetine) can inhibit aripiprazole elimination and cause increased blood levels.",fluoxetine,aripiprazole,mechanism,"Inhibitors_bf CYP3A4_bf (eg_bf ,_bf ketoconazole)_bf CYP2D6_bf (eg_bf ,_bf quinidine_bf ,_bf DRUG ,_be paroxetine)_be inhibit_be OTHER_DRUG elimination_af cause_af increased_af blood_af levels_af ._af"
265,"Inhibitors of CYP3A4 (eg, ketoconazole) or CYP2D6 (eg, quinidine, fluoxetine, or paroxetine) can inhibit aripiprazole elimination and cause increased blood levels.",paroxetine,aripiprazole,mechanism,"Inhibitors_bf CYP3A4_bf (eg_bf ,_bf ketoconazole)_bf CYP2D6_bf (eg_bf ,_bf quinidine_bf ,_bf fluoxetine_bf ,_bf paroxetine)_bf inhibit_bf OTHER_DRUG elimination_be cause_be increased_be blood_be levels_be ._be"
266,"Ketoconazole: Coadministration of ketoconazole (200 mg/day for 14 days) with a 15-mg single dose of aripiprazole increased the AUC of aripiprazole and its active metabolite by 63% and 77%, respectively.",ketoconazole,aripiprazole,mechanism,"Ketoconazole:_bf Coadministration_bf DRUG (200_be mg/day_be 14_be days)_be 15-mg_be single_be dose_be OTHER_DRUG increased_af AUC_af OTHER_DRUG active_af metabolite_af 63%_af 77%_af ,_af respectively_af ._af"
267,"When concomitant administration of ketoconazole with aripiprazole occurs, aripiprazole dose should be reduced to one-half of its normal dose.",ketoconazole,aripiprazole,advise,"When_bf concomitant_bf administration_bf DRUG OTHER_DRUG occurs_af ,_af OTHER_DRUG dose_af reduced_af one-half_af normal_af dose_af ._af"
268,"Quinidine: Coadministration of a 10-mg single dose of aripiprazole with quinidine (166 mg/day for 13 days), a potent inhibitor of CYP2D6, increased the AUC of aripiprazole by 112% but decreased the AUC of its active metabolite, dehydroaripiprazole, by 35%.",aripiprazole,quinidine,mechanism,"Quinidine:_bf Coadministration_bf 10-mg_bf single_bf dose_bf DRUG OTHER_DRUG (166_af mg/day_af 13_af days)_af ,_af potent_af inhibitor_af CYP2D6_af ,_af increased_af AUC_af DRUG 112%_af decreased_af AUC_af active_af metabolite_af ,_af dehydroaripiprazole_af ,_af 35%_af ._af"
269,Aripiprazole dose should be reduced to one-half of its normal dose when concomitant administration of quinidine with aripiprazole occurs.,quinidine,aripiprazole,advise,OTHER_DRUG dose_be reduced_be one-half_be normal_be dose_be concomitant_be administration_be DRUG OTHER_DRUG occurs_af ._af
270,"Carbamazepine: Coadministration of carbamazepine (200 mg BID), a potent CYP3A4 inducer, with aripiprazole (30 mg QD) resulted in an approximate 70% decrease in Cmax and AUC values of both aripiprazole and its active metabolite, dehydro-aripiprazole.",carbamazepine,aripiprazole,mechanism,"Carbamazepine:_bf Coadministration_bf DRUG (200_be mg_be BID)_be ,_be potent_be CYP3A4_be inducer_be ,_be OTHER_DRUG (30_af mg_af QD)_af resulted_af approximate_af 70%_af decrease_af Cmax_af AUC_af values_af OTHER_DRUG active_af metabolite_af ,_af dehydro-aripiprazole_af ._af"
271,"When carbamazepine is added to aripiprazole therapy, aripiprazole dose should be doubled.",carbamazepine,aripiprazole,advise,"When_bf DRUG added_be OTHER_DRUG therapy_af ,_af OTHER_DRUG dose_af doubled_af ._af"
272,"When carbamazepine is withdrawn from the combination therapy, aripiprazole dose should then be reduced.",carbamazepine,aripiprazole,advise,"When_bf DRUG withdrawn_be combination_be therapy_be ,_be OTHER_DRUG dose_af reduced_af ._af"
273,"As with most psychoactive medications, patients should be advised to avoid alcohol while taking ABILIFY",alcohol,ABILIFY,advise,"As_bf psychoactive_bf medications_bf ,_bf patients_bf advised_bf avoid_bf DRUG taking_be OTHER_DRUG"
274,Caution is advised when TRISENOX is coadministered with other medications that can prolong the QT interval (e.g. certain antiarrhythmics or thioridazine) or lead to electrolyte abnormalities (such as diuretics or amphotericin B).,TRISENOX,antiarrhythmics,advise,Caution_bf advised_bf DRUG coadministered_be medications_be prolong_be QT_be interval_be (e_be ._be g_be ._be certain_be OTHER_DRUG thioridazine)_af lead_af electrolyte_af abnormalities_af (such_af diuretics_af amphotericin_af B)_af ._af
275,Caution is advised when TRISENOX is coadministered with other medications that can prolong the QT interval (e.g. certain antiarrhythmics or thioridazine) or lead to electrolyte abnormalities (such as diuretics or amphotericin B).,TRISENOX,thioridazine,advise,Caution_bf advised_bf DRUG coadministered_be medications_be prolong_be QT_be interval_be (e_be ._be g_be ._be certain_be antiarrhythmics_be thioridazine)_be lead_be electrolyte_be abnormalities_be (such_be diuretics_be amphotericin_be B)_be ._be
276,Caution is advised when TRISENOX is coadministered with other medications that can prolong the QT interval (e.g. certain antiarrhythmics or thioridazine) or lead to electrolyte abnormalities (such as diuretics or amphotericin B).,TRISENOX,diuretics,advise,Caution_bf advised_bf DRUG coadministered_be medications_be prolong_be QT_be interval_be (e_be ._be g_be ._be certain_be antiarrhythmics_be thioridazine)_be lead_be electrolyte_be abnormalities_be (such_be OTHER_DRUG amphotericin_af B)_af ._af
277,Caution is advised when TRISENOX is coadministered with other medications that can prolong the QT interval (e.g. certain antiarrhythmics or thioridazine) or lead to electrolyte abnormalities (such as diuretics or amphotericin B).,TRISENOX,amphotericin B,advise,Caution_bf advised_bf DRUG coadministered_be medications_be prolong_be QT_be interval_be (e_be ._be g_be ._be certain_be antiarrhythmics_be thioridazine)_be lead_be electrolyte_be abnormalities_be (such_be diuretics_be amphotericin_be B)_be ._be
278,Tissue culture and animal studies indicate that ELSPAR can diminish or abolish the effect of methotrexate on malignant cells.14 This effect on methotrexate activity persists as long as plasma asparagine levels are suppressed.,ELSPAR,methotrexate,effect,Tissue_bf culture_bf animal_bf studies_bf indicate_bf DRUG diminish_be abolish_be effect_be OTHER_DRUG malignant_af cells_af ._af 14_af This_af effect_af OTHER_DRUG activity_af persists_af long_af plasma_af asparagine_af levels_af suppressed_af ._af
279,"These results would seem to dictate against the clinical use of methotrexate with ELSPAR, or during the period following ELSPAR therapy when plasma asparagine levels are below normal.",methotrexate,ELSPAR,advise,"These_bf results_bf would_bf seem_bf dictate_bf clinical_bf use_bf DRUG OTHER_DRUG ,_af period_af following_af OTHER_DRUG therapy_af plasma_af asparagine_af levels_af normal_af ._af"
280,"Uricosuric Agents: Aspirin may decrease the effects of probenecid, sulfinpyrazone, and phenylbutazone.",Aspirin,probenecid,effect,"Uricosuric_bf Agents:_bf DRUG may_be decrease_be effects_be OTHER_DRUG ,_af sulfinpyrazone_af ,_af phenylbutazone_af ._af"
281,"Uricosuric Agents: Aspirin may decrease the effects of probenecid, sulfinpyrazone, and phenylbutazone.",Aspirin,sulfinpyrazone,effect,"Uricosuric_bf Agents:_bf DRUG may_be decrease_be effects_be probenecid_be ,_be OTHER_DRUG ,_af phenylbutazone_af ._af"
282,"Uricosuric Agents: Aspirin may decrease the effects of probenecid, sulfinpyrazone, and phenylbutazone.",Aspirin,phenylbutazone,effect,"Uricosuric_bf Agents:_bf DRUG may_be decrease_be effects_be probenecid_be ,_be sulfinpyrazone_be ,_be OTHER_DRUG ._af"
283,Alcohol: Has a synergistic effect with aspirin in causing gastrointestinal bleeding.,Alcohol,aspirin,effect,Alcohol:_bf Has_bf synergistic_bf effect_bf OTHER_DRUG causing_be gastrointestinal_be bleeding_be ._be
284,Corticosteroids: Concomitant administration with aspirin may increase the risk of gastrointestinal ulceration and may reduce serum salicylate levels.,Corticosteroids,aspirin,effect,Corticosteroids:_bf Concomitant_bf administration_bf OTHER_DRUG may_be increase_be risk_be gastrointestinal_be ulceration_be may_be reduce_be serum_be salicylate_be levels_be ._be
